record_type,company_name,tender_id,year,tender_date,contract_date,buyer_institution,city,region,procurement_type,procedure_type,tender_title,product_group,product_name,unit,quantity,delivery_months,competitor_count_estimate,estimated_unit_cost_try,estimated_total_cost_try,winning_unit_price_try,contract_value_try,internal_unit_cost_try,gross_margin_pct,gross_profit_try,discount_to_estimated_cost_pct,cpi_factor_to_2025,sector_price_factor_to_2025,inflation_adjusted_unit_price_2025_try,inflation_adjusted_contract_value_2025_try,cpi_factor_to_2026,inflation_adjusted_unit_price_2026_try,inflation_adjusted_contract_value_2026_try,result,strategic_fit_score,data_note
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0011,2021,2021-09-16,2021-11-09,Aydın Şehir Hastanesi,Aydın,Ege,Mal,Açık İhale,%5 Dekstroz 500 ml Alımı,IV Solution,%5 Dekstroz 500 ml,adet,271812,6,3,8.73,2373306.15,7.51,2040375.82,6.4,14.76,301255.14,14.03,5.1151,3.6748,27.59,7497973.06,5.9647,44.79,12170229.65,Kazandı,62.5,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0012,2021,2021-11-18,2021-12-08,Trabzon Belediye Sağlık İşleri Müdürlüğü,Trabzon,Karadeniz,Mal,Açık İhale,%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,210800,6,3,8.33,1755940.72,6.52,1374519.26,5.94,8.92,122626.43,21.72,5.1151,3.6748,23.96,5051083.37,5.9647,38.89,8198595.03,Kazandı,46.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0013,2021,2021-03-23,2021-04-22,Mersin Belediye Sağlık İşleri Müdürlüğü,Mersin,Akdeniz,Mal,Pazarlık (MD 21 B),Levofloksasin IV 500 mg/100 ml Alımı,Injectable,Levofloksasin IV 500 mg/100 ml,adet,59527,6,5,39.6,2357048.23,34.13,2031561.43,24.34,28.67,582534.65,13.81,5.1151,3.6748,125.42,7465581.95,5.9647,203.58,12117654.46,Kazandı,64.7,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0014,2021,2021-06-25,2021-07-09,Ankara Ağız ve Diş Sağlığı Merkezi,Ankara,İç Anadolu,Mal,Pazarlık (MD 21 B),%0.9 NaCl 250 ml Alımı,IV Solution,%0.9 NaCl 250 ml,adet,494453,9,2,5.18,2561298.78,4.43,2191884.65,3.79,14.49,317633.16,14.42,5.1151,3.6748,16.29,8054737.71,5.9647,26.42,13073934.37,Kazandı,72.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0015,2021,2021-10-12,2021-11-16,Ordu Şehir Hastanesi,Ordu,Karadeniz,Mal,Pazarlık (MD 21 B),%10 Dekstroz 500 ml Alımı,IV Solution,%10 Dekstroz 500 ml,adet,232124,9,3,11.32,2628510.15,9.33,2166681.52,7.48,19.83,429745.46,17.57,5.1151,3.6748,34.3,7962121.26,5.9647,55.65,12923605.26,Kazandı,59.9,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0016,2021,2021-03-10,2021-04-24,Kayseri Devlet Hastanesi,Kayseri,İç Anadolu,Mal,Doğrudan Temin,Levofloksasin IV 500 mg/100 ml Alımı,Injectable,Levofloksasin IV 500 mg/100 ml,adet,55429,12,3,38.16,2114961.46,35.4,1962044.54,24.76,30.06,589739.19,7.23,5.1151,3.6748,130.08,7210121.26,5.9647,211.15,11703007.07,Kazandı,81.3,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0017,2021,2021-05-21,2021-06-08,Denizli Kamu Hastaneleri Birliği,Denizli,Ege,Mal,Çerçeve Anlaşma,Sodyum Bikarbonat Ampul 10 ml Alımı,Injectable,Sodyum Bikarbonat Ampul 10 ml,adet,29970,12,5,7.41,222047.92,5.84,175092.15,4.19,28.25,49460.18,21.15,5.1151,3.6748,21.47,643428.65,5.9647,34.83,1044372.15,Kazandı,69.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0018,2021,2020-12-17,2021-02-05,Antalya İl Sağlık Müdürlüğü,Antalya,Akdeniz,Mal,Açık İhale,Potasyum Klorür Ampul 10 ml Alımı,Injectable,Potasyum Klorür Ampul 10 ml,adet,44672,3,4,6.76,302146.61,5.64,251971.9,3.75,33.45,84290.15,16.61,5.1151,3.6748,20.73,925946.35,5.9647,33.64,1502936.79,Kazandı,75.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0019,2021,2021-05-26,2021-07-13,Elazığ Eğitim ve Araştırma Hastanesi,Elazığ,Doğu Anadolu,Mal,Pazarlık (MD 21 B),%5 Dekstroz 500 ml Alımı,IV Solution,%5 Dekstroz 500 ml,adet,362990,12,4,10.35,3756094.95,9.04,3280935.21,6.57,27.27,894555.77,12.65,5.1151,3.6748,33.22,12056780.72,5.9647,53.92,19569794.25,Kazandı,72.7,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0020,2021,2020-11-27,2021-01-22,Ordu Belediye Sağlık İşleri Müdürlüğü,Ordu,Karadeniz,Mal,Pazarlık (MD 21 F),Levofloksasin IV 500 mg/100 ml Alımı,Injectable,Levofloksasin IV 500 mg/100 ml,adet,104292,6,2,48.18,5024559.87,34.23,3569400.58,26.69,22.02,786013.35,28.96,5.1151,3.6748,125.77,13116833.27,5.9647,204.17,21290403.64,Kazandı,59.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0021,2021,2021-01-04,2021-02-10,Şanlıurfa Ağız ve Diş Sağlığı Merkezi,Şanlıurfa,Güneydoğu Anadolu,Mal,Pazarlık (MD 21 B),%0.9 NaCl 1000 ml Alımı,IV Solution,%0.9 NaCl 1000 ml,adet,36295,3,6,15.4,559069.6,12.85,466248.35,9.69,24.6,114676.34,16.6,5.1151,3.6748,47.21,1713369.44,5.9647,76.65,2781031.53,Kazandı,66.2,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0022,2021,2021-09-04,2021-09-25,Antalya Üniversite Hastanesi,Antalya,Akdeniz,Mal,Doğrudan Temin,%5 Dekstroz 500 ml Alımı,IV Solution,%5 Dekstroz 500 ml,adet,116406,9,6,9.5,1106166.87,8.09,941951.0,6.54,19.2,180889.58,14.85,5.1151,3.6748,29.74,3461481.52,5.9647,48.25,5618455.13,Kazandı,56.1,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0023,2021,2021-09-18,2021-10-07,Bursa Belediye Sağlık İşleri Müdürlüğü,Bursa,Marmara,Mal,Çerçeve Anlaşma,Potasyum Klorür Ampul 10 ml Alımı,Injectable,Potasyum Klorür Ampul 10 ml,adet,87840,12,6,7.08,621838.78,5.87,515256.25,4.04,31.13,160411.11,17.14,5.1151,3.6748,21.56,1893463.68,5.9647,35.01,3073348.95,Kazandı,73.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0024,2021,2021-07-15,2021-09-01,Van Belediye Sağlık İşleri Müdürlüğü,Van,Doğu Anadolu,Mal,Pazarlık (MD 21 B),Parasetamol IV 10 mg/ml 100 ml Alımı,Injectable,Parasetamol IV 10 mg/ml 100 ml,adet,69219,6,4,26.42,1828723.01,25.06,1734908.37,17.83,28.86,500777.09,5.13,5.1151,3.6748,92.11,6375441.3,5.9647,149.48,10348207.95,Kazandı,74.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0025,2021,2021-05-29,2021-06-27,Antalya Eğitim ve Araştırma Hastanesi,Antalya,Akdeniz,Mal,Pazarlık (MD 21 B),Steril Su 500 ml Alımı,IV Solution,Steril Su 500 ml,adet,236822,3,6,8.21,1943587.98,6.09,1442303.75,5.27,13.55,195393.38,25.79,5.1151,3.6748,22.38,5300177.81,5.9647,36.33,8602909.18,Kazandı,54.8,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0026,2021,2021-01-14,2021-02-24,Kocaeli Eğitim ve Araştırma Hastanesi,Kocaeli,Marmara,Mal,Açık İhale,Ringer Laktat 500 ml Alımı,IV Solution,Ringer Laktat 500 ml,adet,216835,12,2,10.29,2231015.79,8.36,1812440.34,6.63,20.66,374412.87,18.76,5.1151,3.6748,30.72,6660355.76,5.9647,49.86,10810662.9,Kazandı,67.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0027,2021,2021-10-02,2021-11-16,Van Devlet Hastanesi,Van,Doğu Anadolu,Mal,Pazarlık (MD 21 B),%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,115440,9,3,10.68,1233315.41,7.94,916700.41,6.31,20.57,188546.72,25.67,5.1151,3.6748,29.18,3368690.68,5.9647,47.36,5467842.94,Kazandı,61.7,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0028,2021,2021-07-31,2021-09-25,Denizli Şehir Hastanesi,Denizli,Ege,Mal,Açık İhale,%5 Dekstroz 500 ml Alımı,IV Solution,%5 Dekstroz 500 ml,adet,646677,6,3,7.76,5017610.06,6.72,4344154.05,5.94,11.52,500662.79,13.42,5.1151,3.6748,24.69,15963897.32,5.9647,40.08,25911575.66,Kazandı,55.8,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0029,2021,2021-10-19,2021-11-21,Şanlıurfa Kamu Hastaneleri Birliği,Şanlıurfa,Güneydoğu Anadolu,Mal,Açık İhale,%10 Dekstroz 500 ml Alımı,IV Solution,%10 Dekstroz 500 ml,adet,437897,9,2,9.75,4270061.7,8.91,3902763.7,8.09,9.23,360126.92,8.6,5.1151,3.6748,32.75,14341876.03,5.9647,53.15,23278814.64,Kazandı,58.2,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0030,2021,2021-03-25,2021-04-08,Rize Eğitim ve Araştırma Hastanesi,Rize,Karadeniz,Mal,Doğrudan Temin,Levofloksasin IV 500 mg/100 ml Alımı,Injectable,Levofloksasin IV 500 mg/100 ml,adet,53534,6,6,42.16,2256910.07,39.13,2094592.77,28.26,27.78,581813.74,7.19,5.1151,3.6748,143.78,7697209.5,5.9647,233.4,12493617.5,Kazandı,58.1,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0031,2021,2021-03-26,2021-04-19,Sakarya Belediye Sağlık İşleri Müdürlüğü,Sakarya,Marmara,Mal,Açık İhale,Steril Su 500 ml Alımı,IV Solution,Steril Su 500 ml,adet,269559,3,2,6.44,1736327.05,5.61,1513116.52,4.94,12.08,182839.82,12.86,5.1151,3.6748,20.63,5560400.58,5.9647,33.46,9025286.11,Kazandı,60.1,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0032,2021,2021-01-02,2021-02-02,İstanbul Şehir Hastanesi,İstanbul,Marmara,Mal,Açık İhale,%0.9 NaCl 100 ml Alımı,IV Solution,%0.9 NaCl 100 ml,adet,368531,9,3,4.21,1552268.68,3.55,1308715.44,3.03,14.55,190410.54,15.69,5.1151,3.6748,13.05,4809267.5,5.9647,21.17,7806094.98,Kazandı,69.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0033,2021,2021-10-24,2021-11-16,Trabzon Üniversite Hastanesi,Trabzon,Karadeniz,Mal,Çerçeve Anlaşma,%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,86403,12,5,7.17,619369.19,6.43,555454.1,5.93,7.76,43112.51,10.32,5.1151,3.6748,23.62,2041182.73,5.9647,38.35,3313117.07,Kazandı,52.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0034,2021,2021-07-21,2021-08-26,Eskişehir Şehir Hastanesi,Eskişehir,İç Anadolu,Mal,Çerçeve Anlaşma,Sodyum Bikarbonat Ampul 10 ml Alımı,Injectable,Sodyum Bikarbonat Ampul 10 ml,adet,110416,6,6,6.33,698555.41,5.14,567947.48,4.17,18.97,107746.75,18.7,5.1151,3.6748,18.9,2087093.4,5.9647,30.66,3387636.33,Kazandı,63.5,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0035,2021,2021-05-09,2021-06-14,İstanbul Kamu Hastaneleri Birliği,İstanbul,Marmara,Mal,Açık İhale,%10 Dekstroz 500 ml Alımı,IV Solution,%10 Dekstroz 500 ml,adet,352876,9,5,9.84,3473872.66,8.84,3121111.52,7.56,14.5,452532.82,10.15,5.1151,3.6748,32.5,11469460.63,5.9647,52.73,18616493.88,Kazandı,68.1,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0036,2021,2020-11-18,2021-01-13,Erzurum Eğitim ve Araştırma Hastanesi,Erzurum,Doğu Anadolu,Mal,Pazarlık (MD 21 B),Levofloksasin IV 500 mg/100 ml Alımı,Injectable,Levofloksasin IV 500 mg/100 ml,adet,48530,3,3,40.02,1942042.56,35.53,1724304.39,26.04,26.72,460704.92,11.21,5.1151,3.6748,130.57,6336473.76,5.9647,211.93,10284958.4,Kazandı,68.1,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0037,2021,2021-02-22,2021-04-07,Erzurum Şehir Hastanesi,Erzurum,Doğu Anadolu,Mal,Açık İhale,Steril Su 500 ml Alımı,IV Solution,Steril Su 500 ml,adet,160279,12,3,6.92,1109047.19,6.71,1075775.78,5.67,15.5,166757.57,3.0,5.1151,3.6748,24.66,3953260.83,5.9647,40.02,6416679.79,Kazandı,59.3,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0038,2021,2021-04-20,2021-05-15,Eskişehir Devlet Hastanesi,Eskişehir,İç Anadolu,Mal,Açık İhale,Levofloksasin IV 500 mg/100 ml Alımı,Injectable,Levofloksasin IV 500 mg/100 ml,adet,56457,3,5,34.19,1930106.67,30.96,1747707.16,25.04,19.1,333778.38,9.45,5.1151,3.6748,113.76,6422474.26,5.9647,184.67,10424548.9,Kazandı,73.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0039,2021,2021-11-08,2021-11-18,Antalya İl Sağlık Müdürlüğü,Antalya,Akdeniz,Mal,Doğrudan Temin,%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,239979,3,6,9.46,2270276.84,7.89,1893298.49,5.84,25.96,491446.58,16.6,5.1151,3.6748,28.99,6957493.3,5.9647,47.06,11292957.5,Kazandı,68.2,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0040,2021,2021-06-06,2021-07-16,Van Devlet Hastanesi,Van,Doğu Anadolu,Mal,Pazarlık (MD 21 B),%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,395129,6,5,7.77,3068837.55,7.26,2867915.2,6.31,13.1,375571.68,6.55,5.1151,3.6748,26.67,10539014.76,5.9647,43.3,17106253.79,Kazandı,51.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0041,2021,2021-03-03,2021-03-13,Elazığ İl Sağlık Müdürlüğü,Elazığ,Doğu Anadolu,Mal,Açık İhale,%10 Dekstroz 500 ml Alımı,IV Solution,%10 Dekstroz 500 ml,adet,140909,12,3,10.2,1437262.56,9.51,1340409.5,8.61,9.53,127691.11,6.74,5.1151,3.6748,34.96,4925736.83,5.9647,56.72,7995140.54,Kazandı,54.0,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0042,2021,2021-05-28,2021-07-23,Denizli Üniversite Hastanesi,Denizli,Ege,Mal,Çerçeve Anlaşma,Metronidazol IV 5 mg/ml 100 ml Alımı,Injectable,Metronidazol IV 5 mg/ml 100 ml,adet,56657,12,5,16.66,943983.37,15.33,868798.89,12.26,20.06,174292.38,7.96,5.1151,3.6748,56.35,3192662.16,5.9647,91.44,5182124.74,Kazandı,61.3,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0043,2021,2021-03-18,2021-04-10,Mardin Devlet Hastanesi,Mardin,Güneydoğu Anadolu,Mal,Açık İhale,Sodyum Bikarbonat Ampul 10 ml Alımı,Injectable,Sodyum Bikarbonat Ampul 10 ml,adet,66362,12,4,6.55,434373.68,5.79,384313.67,4.63,20.1,77256.27,11.52,5.1151,3.6748,21.28,1412275.89,5.9647,34.54,2292315.75,Kazandı,65.5,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0044,2021,2020-11-16,2021-01-02,Samsun Ağız ve Diş Sağlığı Merkezi,Samsun,Karadeniz,Mal,Pazarlık (MD 21 B),%0.9 NaCl 250 ml Alımı,IV Solution,%0.9 NaCl 250 ml,adet,124423,6,6,5.79,720507.16,5.22,649297.11,4.36,16.48,107032.0,9.88,5.1151,3.6748,19.18,2386037.0,5.9647,31.14,3872862.47,Kazandı,60.3,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0045,2021,2021-08-13,2021-09-03,Trabzon İl Sağlık Müdürlüğü,Trabzon,Karadeniz,Mal,Açık İhale,Mannitol %20 150 ml Alımı,Injectable,Mannitol %20 150 ml,adet,94367,3,2,30.21,2850757.39,27.58,2602943.3,20.94,24.1,627295.09,8.69,5.1151,3.6748,101.36,9565296.04,5.9647,164.51,15525775.9,Kazandı,70.8,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0046,2021,2021-05-19,2021-07-04,Samsun Şehir Hastanesi,Samsun,Karadeniz,Mal,Açık İhale,%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,87789,6,5,8.44,741363.72,6.93,608315.01,6.3,9.08,55215.19,17.95,5.1151,3.6748,25.46,2235436.01,5.9647,41.34,3628416.54,Kazandı,53.7,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0047,2021,2021-06-05,2021-07-22,Samsun Eğitim ve Araştırma Hastanesi,Samsun,Karadeniz,Mal,Doğrudan Temin,Ringer Laktat 500 ml Alımı,IV Solution,Ringer Laktat 500 ml,adet,197844,6,4,9.97,1971985.56,8.58,1696579.93,7.36,14.15,240083.18,13.97,5.1151,3.6748,31.51,6234591.93,5.9647,51.18,10119590.31,Kazandı,53.3,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
